🚀 Starting Soak Test: duration=180 s
Module Manager initialized successfully
[MODULE] Communication manager status check: result=-3, status=-1795186560
[SOAK] t=139s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=140s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=141s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=142s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=143s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=144s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=145s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=146s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=147s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=148s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=149s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=150s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=151s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=152s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=153s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=154s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=155s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=156s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=157s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=158s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=159s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=160s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=161s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=162s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=163s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=164s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=165s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=166s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=167s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=168s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=169s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=170s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=171s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=172s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=173s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=174s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=175s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=176s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=177s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=178s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=179s timeouts=0 crc=0 flap=0 rss=580 kB
✅ Soak test completed. Report: ../profiling_results/soak_report_20250909_184811_3m.md
